annie,1:581
he's,9:1678,17:1053,2:615,3:63,0:12,5:4
depressed,9:37
sudden,9:72,2:68,15:6,18:3
nodding,2:67,1:12
nudging,1:3
flicker,2:48,1:1
head,2:1409,9:544,17:488,7:60
answers,9:90,17:51
read,9:219,17:104,1:46,0:26,18:18,11:18
puffing,9:15
huh,9:280,13:8,8:8
universe,9:20
expanding,2:7,1:5
someday,9:27,16:4
break,9:206,2:116,7:11
end,2:548,9:404
everything!disgusted,9:1
shouting,2:76,9:59,16:10,0:8
business,17:208,9:163,10:30,11:1,12:1
turns,2:1235,9:823,17:498,19:79,6:77,14:66,12:48
back,2:2945,9:2270,17:1545,8:129,14:89,6:66
stopped,9:155,1:1,16:1
homework,9:20,6:13
what's,9:1223,2:167
point,2:220,9:215,15:27,7:6
excited,9:175
gesturing,1:24,2:22,10:2
hands,2:752,9:683,17:255,3:32,11:30,7:23
you're,9:3087,17:609,6:64,1:43,8:1
heartily,9:7
won't,9:594,17:186,3:25,5:22,16:12
billions,17:4
years,9:761,14:48,3:27,15:20,18:18,12:17,10:5
we've,9:318,2:182,7:19,11:16
gotta,9:294,12:57,10:55,15:27,16:21,1:18,5:14,13:13,3:12,18:10,11:1
enjoy,9:74,7:6
we're,9:709,17:363,11:70,1:65,5:53,8:51,7:51,18:49,10:46,13:44,4:42,15:41,2:29,0:14
uh?he,1:1
laughs,9:482,6:24,8:22
to:fall,1:1
shot,17:539,13:259,7:155,15:150,2:127,18:64,11:8,19:7
house,17:969,6:236,14:158,1:147,4:120,8:110,16:88,3:80,7:65,11:58,0:57,10:52,12:48,15:39,19:30
amusement-park,1:1
roller-coaster,1:2,8:1
ride,9:111,2:42,4:27,14:5
built,2:92,15:8
line,2:320,9:194,17:105
cars,17:249,14:50,11:17,4:17
move,2:836,1:44,15:28,8:23,3:18,19:5,18:1
slides,2:274,14:14
great,9:886,6:29,2:26,10:12,3:1
speed,2:153,11:22,15:16
window,17:813,2:183,14:79,6:48,12:42,4:39,8:33,11:23
band,9:145,3:105,13:7
shakes,9:343,2:242
dust,2:122,15:11
mop,9:15,14:5,15:3
alvy's,1:81
voice,9:589,2:370,10:117,19:83,4:80,13:76,18:57,0:53,11:52,8:51,3:39,15:8
analyst,1:11
exaggerate,9:2
childhood,9:19,17:1
memories,9:22,11:1
swear,17:83,16:6,8:4,5:1
underneath,2:93,16:10
roller,9:20
housealvy,1:1
child,9:165,17:46,18:17,12:13,6:3
table,17:650,9:523,8:65,0:32,16:25,19:1
eating,9:192,18:16,16:12
soup,17:39,10:8,7:7,6:4,5:2
reading,9:288,2:75,0:16
comic,19:72,9:24,15:5
book,9:376,18:80,19:53,10:48,1:33,11:25
father,9:466,19:152,16:123,12:81,4:48,10:45,8:37,11:35
paper,17:396,9:66,3:20
coaster,17:14,1:2
coney,4:4,9:2
island,9:79,8:45,13:12
section,9:74,2:51,18:19
accounts,9:15
personality,9:32,8:1
nervous,9:249,14:6
think.cut,1:1
to:young,1:1
food-stand,1:1
concession,1:9,9:3
watching,9:457,17:302,15:23
military,2:100,16:15
men,2:538,15:135,4:77,16:70,3:69,8:50,13:47,12:38,1:38,6:32,5:12,0:12,10:11
representing,9:15
army,2:123,4:41,7:29,15:12,8:7
navy,3:21,19:16,13:13,9:12,15:9,7:5
marines,3:15,2:12,0:9
arm,2:568,9:233,5:2
blond,17:18
woman,9:500,17:454,1:95,18:49,11:33,0:26
skirted,1:1
bathing,2:18
suit,17:138,9:136,10:15,13:10,11:2
turn,9:367,2:367,16:6,4:1,1:1
run,2:452,17:133,3:87,1:25,7:19,8:14,9:5,15:2
foreground,17:36
girl,9:880,17:144,14:42,11:36
stops,9:617,2:366,17:118,8:49,14:17
camera,9:284,17:228,18:88,13:85,1:47,19:31,11:31,10:21,0:9
lean,2:39,1:7,16:1
throw,9:127,2:39,3:13,13:5
kiss,9:334,7:3
sign,17:305,9:103,11:56,8:22,3:12,5:3,18:1
reads,9:203,17:176,11:32,19:27,14:2
steve's,17:23,14:9,4:2
famous,9:70,17:35,11:5
clam,17:6
bar,17:255,9:227,15:11
ice,9:129,5:47,14:29,10:15,19:12,11:10,1:1
cold,2:266,5:20,1:6
beer,9:138,17:59,6:13
moving,2:526,17:83,15:31,1:24
gear,2:130,11:13
hyperactive,9:4
imagination,9:13,8:4
jump,2:100,17:58,12:24,7:10,4:1
trouble,9:190,3:21,4:19,14:11,2:10,18:6
fantasy,9:22,7:1
reality,2:61,1:13
to:full,1:2
people,9:1317,17:178,11:60,16:45,10:45,1:45,0:43,18:29,13:15
bumper,9:25,5:6,18:4,1:1
enjoying,9:75
bumping,17:19,1:4
center,2:318,7:29,16:17,17:1
track,2:122,1:4
directing,17:16,0:6,1:5,12:3
traffic,17:152,1:13
ran,9:49,2:24
bumper-car,1:3
moves,2:432,9:399,17:243,18:73,8:39,11:28,6:21
frame,2:209,11:32,9:23,19:22,18:15
driving,9:204,14:14,18:4
car,17:1626,14:337,4:114,19:86,1:72,12:59,11:42,15:22,10:3
bombard,17:1
continues,9:406,2:189,17:46,3:26
direct,9:25,17:22,15:8,11:4
there-there,1:1
i-i-i-i,1:5
aggression,9:2,12:1,10:1
time.alvy,1:2
backs,2:176,11:8
screen.int,1:2
schoolroom,9:4
daythe,8:30,14:17,5:15
pans,9:71,18:24,13:23,19:1
austere-looking,1:1
teachers,17:37,1:16
standing,9:531,2:213,8:32,7:27,15:16,14:13
front,17:780,2:459,9:450,8:74,14:61,5:37,12:32,7:24,11:1
blackboard,1:10,17:8,10:3,3:3
chalk,2:10,1:5
writing,9:161,15:11,17:9
board,2:164,17:61,11:15,1:11,13:9,16:4
teacher,17:116,1:54,6:32,10:18,16:6
lectures,17:9
speaks,17:174,2:110,0:29,16:9
male,9:98,11:14,8:13,14:10
puts,9:367,17:305,2:207,8:59,6:41,0:32,14:28
equation,17:6,15:6,10:2
arithmetic,9:3
formulas,7:1
remember,9:496,14:30,4:25,8:22
staff,2:115,7:34,1:15
public,17:126,0:2
school,9:543,7:47,1:42
teach,9:80,16:12,1:5
gym,9:41,16:23,14:20
h'h,1:4
couldn't,9:355,0:20
assigned,3:13,2:9,7:2
to:a,4:6,5:3,1:2
female,9:63,17:38,2:23,14:20,11:10,7:8
transportation,3:5,12:2,10:1
administration,17:9,1:6,19:5,18:5
view,2:274,15:130,8:22,1:16
group,2:213,9:172,7:60,6:36,13:35,0:8
students,9:115,1:34,10:8
sitting,9:586,2:114,8:55,18:1
desks,17:25,5:6,1:5,10:2
desk,17:500,9:90,15:44,10:43,1:37,8:32,13:5,6:2
wile,1:1
student,17:65,1:16,7:10,16:3
note-passing,1:1
ruler-tapping,1:1
nose-picking,1:1
gumchewing,1:1
felt,9:122
schoolmates,1:2
idiots,9:12,15:4
melvyn,9:1
greenglass,1:1
fat,9:65,17:51,10:16,6:9,15:5,4:1
face,2:1249,9:768,17:309,6:67,8:47
henrietta,9:1
farrell,1:1
miss,17:153,5:136,1:127,0:115,3:19,8:14,15:5
perfect,9:130,17:70,15:42
time,9:1677,2:773,17:276,4:53,6:45,1:19,19:16,0:9
ivan,19:12,7:5,1:3,18:2
ackerman,1:1
wrong,9:593,14:19,15:1,12:1
answer,9:343,17:56,3:27,19:22,0:12
nine.alvy,1:1
hits,2:488
forehead,2:118,9:23
hand,2:1291,9:1169,6:63,8:50,17:13
glances,17:281,2:160,14:18
reacting,1:30,9:19,4:14
knew,9:383,15:14
jerks,2:84
glaring,2:25,15:1
nineteen,9:11,14:7,5:3
forty-two,9:8,11:1
dis-as,1:1
talks,9:90,17:72,10:23,3:1
shows,17:229,1:23,10:18,8:7
seat,17:421,9:132,11:55,14:15,1:10
jumps,17:206,2:102,12:27,14:17,8:14
disgust,17:51
rubbing,9:58,7:4
cheek,9:139,17:12
making,9:371,2:136,7:13
noises,9:31
ugh,9:7
kissed,9:28,6:1
month,9:100
step,9:182,2:128,17:29
here!as,1:1
rises,2:313,16:26,0:20,15:2,5:2
angry,9:226
points,17:262,2:157,8:20,15:3
heads,17:333,2:180,4:42,7:19,12:16,3:15,8:1
watch,2:338,9:318,17:268,5:1
happen,9:244
what'd,17:56
ashamed,9:35,6:8,4:3
yourself.the,1:1
row,17:96,2:75
onscreen,14:5,7:1
classroom,9:42,1:23,6:9
expressing,9:4,1:1
healthy,17:28
sexual,9:35,1:6,7:1
curiosity,2:20,1:4,14:2
younger,9:89,4:39,0:5
six-year-old,9:5,1:1,7:1
boys,9:146,11:55,19:52,3:22,13:21,4:21,16:18,15:17,7:14,14:8,1:5
girls,9:408,7:43
minds,17:29,15:2
gestures,2:91,17:72
god's,9:56,12:9,10:8,4:1,16:1
sakes,1:3
freud,12:5,9:4
latency,1:2
period,1:29,9:25,6:2
side,2:987,17:378,19:17
donald,10:170,9:13
tall,2:112,9:35,16:8
model,9:64
folks,9:83
today,9:333,1:17,0:2
profitable,9:3,10:1
dress,9:237,6:22
company,9:111,17:31,5:18,18:12,1:11,3:7
classmates,9:7
today.the,1:1
room,9:1862,17:1769,6:185,8:120,13:118,7:84,16:75,10:44,0:29,1:26
rise,2:135,3:5
speak,17:165,2:138,3:19,1:19,16:14,15:1
president,1:166,7:112,11:103,15:50,9:28,8:18,17:12,3:9,0:1
pinkus,1:1
plumbing,18:5,9:5,1:5
sell,9:79,15:9,10:9,3:1
tallises,9:1
heroin,4:25,17:12
addict,4:5,1:4
methadone,1:1
leather.int,9:1
roomclose-up,1:1
showing,9:100,2:61
talk,9:1019,14:7
show,9:506,2:86,8:24
host,8:38,2:23,11:8,0:2
dick,3:99,4:87,9:52,10:10,2:1
cavett,1:3
man,9:1222,17:947,16:193,4:154,19:124,14:124,11:92,6:90,13:70,15:65,3:65,10:55,12:49,8:46,7:40
static,2:74,15:11
heard,9:437,2:168,4:12
dialogue,9:36
lost,9:242,2:172,1:7
wound,2:71
comedian,1:12,16:1,8:1
interestingly,1:3
was-i,1:2
four-p.sounds,1:1
audience,9:98,12:54,16:28,1:25,0:24,8:9,2:1
laughter,9:172,1:29,6:20,16:18,2:7
applause,9:47,0:33,16:22,3:15,1:5
four-p,1:1
in-in-in-in,1:1
event,9:33,0:10
hostage.more,9:1
joined,2:28,3:10,12:9,0:8,10:1
naval,19:14,2:13,3:9,4:1
officer.int,1:1
grew,9:36
upalvy's,1:1
dining-room,1:2
peeling,9:18
carrots,1:1
talking,9:561,17:279,8:9
outta,17:50,12:20,15:17,1:17,2:11,18:7,3:6
distrusted,1:1
world.'ext,9:1
manhattan,9:64,1:36
street-daya,1:1
pretty,9:486,1:7
street,17:742,9:367,14:82,16:44,12:35,19:32,1:15
sidewalk,9:118,4:10
trees,2:177,15:25,4:13
brownstones,11:4,1:2,13:1
mill,2:29,18:25,19:1
strolling,9:9
carrying,2:205,17:67,8:28,5:13,1:12
bundles,9:10
buried,2:54,8:14
length,2:72,10:4,6:4,15:1
part,9:214,2:165,0:27,7:10,1:10
scene,9:270,19:88,13:64,14:54,18:28,16:26,11:21,8:14,12:7,0:7
ensues,2:8,4:4
pedestrians,17:22,14:4
indistinguishable,9:3
distance,2:309
closer,2:302,17:89,13:22,15:21
recognizable,17:9
finally,9:394,2:206,3:33,17:14,18:2,12:1,11:1
friend,9:455,12:30
rob,13:313,1:94,9:5
deep,2:312,9:98,15:41,13:14
conversation,9:187
eventually,17:42,6:25,3:13,8:4,18:1
past,2:448,9:243,17:110,4:26,11:23
noise,2:165,17:44,15:6
distinctly,0:8,5:1
muttered,9:2
breath,2:220,9:149
jew,1:15,9:14
crazy,9:289,17:109,4:22
walking,9:412,17:49,8:44,7:20,14:5
tennis,9:22,1:16,5:4
court,17:80,3:39,16:36,1:25,12:23,19:17,4:17
wife,9:486,10:36,6:23,15:13,16:11
looked,9:144,0:7
total,9:80,2:24,16:3,8:3
paranoid,9:32
paran,1:1
pick,9:154,2:121,1:5
kind,9:363,17:126,2:70
lunch,9:121
nbc,19:14,1:4,10:2,17:1
eat,9:340,18:9
tom,9:1125
christie,10:36,18:17
didchoo,1:2
max,11:135,0:102,5:57,1:45,7:28,18:16
stop,9:681,2:350
calling,9:251
good,9:2364,18:30,6:1
conspiracies,17:2
record,9:146,3:23,15:19,12:1
store,9:165,4:23,3:16,14:14,18:8,7:5,19:1
listen,9:654,11:14
big,9:841,15:94,13:83,5:52,11:36
crew-cutted,9:1
guy,9:534,17:287,10:37,15:36,14:24
lookin,9:26,6:9,14:6,12:5
smiling,9:226,17:107,14:11,11:8,16:1
sale,9:17,17:16,14:7
week,9:217,17:42,0:12
wagner,1:4,3:3
wagner-so,9:1
significantly,9:5
california,9:82
let's,9:635,2:137,18:28,8:9,3:5
hell,17:224,9:209,15:57,5:45,18:30,4:19,13:9
city,17:249,9:182,19:35,12:8
forget,9:308,5:3
sunny,9:25
l.a,17:37,0:6
bringing,9:42,2:34,15:3,8:3
live,9:364,17:81,1:21
cultural,7:3,1:3
advantage,17:28,10:4
make,9:1085,2:322,17:185,12:51,3:32,19:24,11:11
red,2:329,17:183,3:81,15:35,11:26,6:11,9:7
light,2:1048,14:38
checking,17:120,13:7
aren't,9:222,17:46,1:29
late,9:344,2:171,0:23,16:15,11:9,13:1
meeting,9:131,12:24,1:13,7:7,3:7,17:5
meet,9:343,2:73,19:15,10:10
beekman,1:2
minutes,17:256,2:148,1:32,12:17,0:16
left,2:565,9:304,16:65,5:7
right?ext,9:1
theater-dayalvy,9:1
glass,2:245,9:232,17:101,8:35,10:21,0:11
doors,2:434,5:23,17:11,19:3,13:3
theater,0:104,12:75,1:18,9:16,18:8,4:8
ticket,17:42,1:20,11:19,0:7,4:4
taker,1:5,18:4,5:1
inside,2:752,17:274,9:56,14:24
sounds,9:263,2:122,7:9
horns,9:16,14:7
honking,17:12
waiting,9:360,17:295,12:31,16:4
leatherjacket,1:1
steps,17:399,2:359,9:95,4:52,19:39,3:27,8:26
farther,2:34
alvyagain,1:1
stare,9:155,2:152,10:23,14:15
scratches,2:25,9:14
notice,17:106,9:84,18:1
staring,9:253,17:239,6:43,13:23,14:12
walks,9:810,17:565,14:119,7:91,6:82,5:61,8:60,12:34
hey,9:860,14:53,8:31,2:29,13:12
television,17:113,1:28,0:12
occasionally,9:24,15:6,13:4
clearing,2:68,1:5
throat,2:167,9:63,15:48
wouldn't,9:438,8:19,5:3
doesn't,9:1017,17:484
matter,9:361,5:22,8:18,13:12,19:2
difference,9:82,14:1
johnny,8:49,9:19,10:6,15:5
carson,7:7,4:1
name?alvy,2:1
uneasy,9:25
nervously,9:85,2:71
robert,12:652,17:54,10:12,3:10,19:1
redford,1:1
nice,9:528,1:51
everything.they,1:1
shake,2:100,9:62
pats,9:51,2:9,3:8
man's,17:134,2:88
shoulder,2:435,17:89,12:2
motions,2:130,7:16
calls,9:172,17:68,3:17,1:1
impatient,9:35,16:9
fellas,9:47,3:10
know-jesus,1:1
overlapping,1:58,2:13
ignoring,9:44,2:21
guy's,17:81
gimme,2:37,1:9
yuh,1:56,14:5,13:1
jesus,9:224,17:93
christ,9:98,17:48,15:12,18:10
protestations,1:1,13:1
large,2:413,9:259,8:7,11:2
polo,2:8,3:2
mallet,2:6
who's,9:320,17:60,1:14
annoyed,9:33,2:33,6:8
this-a,1:1
teamsters,9:2
program,2:31,11:9,19:8,1:5,18:1
matchbook,11:2,1:2
autograph,9:15,16:1
speech,9:71,1:44,19:20,7:7,10:1
ralph,9:43,17:1
taking,9:389,2:146,15:32,14:12,0:2
pen,17:88,3:18,18:13,9:4
friend's,9:16,1:5
brudder,1:1
passersby,9:9
star?nodding,1:1
shoves,17:138,18:6,5:5
curb,17:52,14:11
follow,2:232,9:143,17:19,3:12
here!a,1:1
cab,17:96,13:72,9:59,8:53,5:19,15:11,6:11
stuttering,2:1,19:1
i-i-i-i-it's,1:1
opens,17:551,9:351,2:283,14:61,8:52,5:17,6:5,4:3
door,17:2109,9:1208,14:213,18:174,8:133,6:111,5:106,13:81,7:56,16:55,4:23
panama,8:13,3:8,4:4,1:2
canal,14:19,8:8,1:4,3:3,0:3,4:2
alright,9:214,6:54,10:19,3:17,13:14
bad,9:374,2:144,17:75
mood,9:101
closes,9:178,2:124,17:113,8:27,13:10,7:6,12:1
booth,9:112,16:21,15:14,14:12,5:11,8:5
continue,2:159,9:78
cast,2:29,6:8,0:6
godfather,4:4,17:2
hafta,1:3,18:2
learn,9:97,18:14,14:1
deal,9:234,17:33,18:12,13:8,3:6
dealing,9:42,4:1
named,9:75,18:7,15:6,7:4,19:3
cheech,9:1
billboard,9:7,14:5,11:2
ingmar,1:1
bergman's,1:1
liv,1:1,6:1
ullmann,1:1
headache,9:13
you-you,1:11
ordinary,9:32,15:8,14:8
period!they,1:1
counter,17:218,14:18,18:7,8:5
buying,9:49,4:1
tickets,9:44,0:9
li-little,1:1
louder,2:83,17:64,8:3,12:1
missed,17:89,13:7
clerk,17:118,8:20,4:6,3:1
h'm,1:5
picture,9:195,17:175,19:8
started,9:232
hitting,2:113,3:1
we-we've,9:1
blown,2:71,19:1,12:1
i-you,1:5
middle,9:202,2:157,8:16,17:9
nods,17:425,2:261,15:51,6:37,14:26,7:24,0:24,10:20,3:13
exasperated,9:28
sigh,17:50
we'll,9:444,2:183,3:32,8:17
titles,9:28,17:27
they're,9:450,2:380,17:203,1:57,0:44,15:38,8:13
swedish,2:7,7:4
coffee,17:271,9:67,11:51,5:28,15:21,14:20
hours,9:109,17:83,13:26,11:20,5:17,15:15,18:14,8:2
u-uh,1:1
waving,2:89,1:1
ahead,2:306,17:208,14:12
good-bye,9:29,11:8,15:3
takes,17:919,9:803,2:446,8:67,3:31
stand,2:352,9:314,3:42
argue,2:42,17:11
embarrassed,9:126,17:14
whatta,1:30,18:2
movie,9:205,0:58,19:9,10:8
shrugs,9:178,2:29,15:14,18:1
shoulders,9:89,2:68
disgustedly,9:3,15:2
sorrow,17:10,3:5,1:5
pity,9:34
four-hour,3:1
documentary,9:16,19:8
nazis,9:6
i-i-i've,1:1
start,9:516,2:245
finish,17:87,9:59,10:7
cause-'cause,8:1
anal,9:8
polite,9:20
word,9:212,17:194,3:33
are.int,1:1
lobby.a,9:1
lined-up,17:4
crowd,17:273,2:144,9:89,19:63,16:50,7:25,8:10,1:4
holders,9:3
bum,9:30,12:1
indistinct,2:8
chatter,2:31,1:8
ensuingscene,1:1
loudly,17:82,19:11,12:6
companion,9:16,0:7
fellini,1:1,10:1
film,11:68,17:58,0:58,9:48,7:23
tuesday,2:30
lacks,1:1,3:1
cohesive,1:2
structure,2:61,18:15,1:1
feeling,9:239
absolutely,9:132
i've,9:1307,8:38,11:31,14:27,12:2
a-a,1:2
technical,2:11,11:6,19:2
maker,2:8
granted,2:20,9:5
strada,1:1
negative,2:41,7:2
energy,2:82,1:6,10:1
simple,9:86,2:53
core,2:26,11:6
loud,9:194,2:37,13:13,15:6,1:2
starts,9:888,17:406,8:101,5:56,14:54,16:53,18:44,7:41,15:39,13:29
begins,2:762,17:52,12:14,16:1
newspaper,17:129,19:26,15:2
i'm-i'm-i'm,1:2
stroke,2:27
leading,17:83,2:74
thought,9:846,17:38,18:5
opinions,9:6
ear,9:137,17:63,8:15
juliet,12:7,13:1
spirits,2:28
satyricon,1:1
found,2:231,9:121,12:7
incredibly,9:60
indulgent,1:3,9:2,0:1
makers,9:4
put,9:719,17:142,2:93,8:1
therapy,9:19,12:7,6:5
overslept,9:6
possibly,9:67,15:3
oversleep,1:1
alarm,2:53,9:46,11:11,13:10
clock,17:117,2:20,6:13,13:12,10:12,8:11
gasping,2:49,11:5
hostile,2:21,9:4
gesture,9:64
know-because,1:1
problem,9:320,5:8
yorker,10:12,1:3,5:1
rate,2:31,6:7
intercourse,1:2
samuel,9:4
beckett,14:1
admire,9:30
technique,7:10,2:3,13:1,1:1
hit,2:167,17:150,9:94,3:12
gut,2:22,18:2
level,2:139,19:52,18:25,13:18,11:17,6:5,7:1
i'd,9:776
level.the,1:1
wringing,2:3,1:2
spitting,17:27,3:1
neck,2:204,9:125,14:25
thing,9:955,2:319,18:8
comedian's,9:1
vision,2:64,18:9,10:6
egocentric,17:2
affects,9:10
lighting,2:41,9:13
gal,9:11
gun-shy,1:1
date,9:142,5:14,6:5,4:2
narrow,2:133,13:5,19:1
met,9:237,1:10
answering,9:52,13:5
york,9:283,13:41,3:25,1:14
review,17:22,15:1
books,9:219,17:24,1:23,18:16,8:1
thirtyish,9:4
academic,9:14
wishes,2:27,16:7,3:4,8:2,12:1
interested,9:125,13:5
mozart,16:674
james,4:144,9:31,12:27,2:12,6:8,14:2,3:2
joyce,19:277
sodomy,9:3
sighs,9:84,2:17,14:15,6:15,12:7,3:2
comparatively,3:3,1:1
normal,17:104,12:21,2:18
raised,2:100
huh?the,9:2
was-that,1:1
henry,18:34,12:28,6:27,3:17,15:14,17:9,1:8
sequel,1:1,11:1
screw,9:54,14:1
influence,9:15
mcluhan,1:4
deals,9:18,10:4
high,9:303,2:297,6:53,19:34,14:27,7:26
intensity,2:21,1:2
understand,9:503,2:35,15:9
hot,9:149,17:51,2:45,5:38,7:18,15:15
aggravated,17:5
give,9:906,2:115,17:68,16:32,7:12,13:2,15:1
sock,17:20,13:4
horse,2:135,4:20,16:19,6:5
manure,0:3
print,9:44,0:7
forward,2:526,13:28,15:18,18:9,11:9,8:4
frustration,9:40,18:5,13:1
facing,17:107,18:8,2:8,5:3
addressing,2:21,1:5
stuck,9:101,2:15
maddening!the,1:1
address,17:95
wait,9:600,2:141,8:47,11:2
minute,9:308,8:24,14:21,13:8
opinion,9:40,0:7
free,2:246,17:53,3:24,1:19,19:16,16:12,6:7
country,9:147,17:80,15:6
pontificate,19:1
m-marshall,1:1
mcluhan's...work,9:1
class,9:186,1:51,7:28,6:18
columbia,9:10,10:4
called,9:361,10:28
media,17:58,16:8
culture,2:10,0:8,13:1
insights,1:2,10:1
mcluhan-well,1:1
validity,1:1,11:1
me-i,1:2
second.alvy,1:1
crowded,9:77,2:44
lobby,17:179,9:38,13:11
stand-up,2:4,1:2
poster,9:28,0:11,19:10,4:10,16:2
pulls,2:921,17:558,9:147,7:70,19:65,14:54
mcluban,1:2
hear-i,5:1
work,9:658,2:321,17:112,3:29
fallacy,1:2
totally,17:104,9:82
amazing,9:96,15:10
this!int,1:1
faces,2:283,3:26
german,17:31,16:23,4:20,11:5
soldiers.credits,1:1
soldiers,8:51,2:48,4:31,7:17,15:16,12:16,13:1
cinema,1:12,9:6
marcel,1:1
ophuls,1:2
andre,9:6,12:4
harris,3:12,0:1
chronicle,19:9,1:2
